Distance (in) ,Hood Ext. (u) ,Drum Velocity (u/ds) ,Center Displacement (deg)
0             ,16            ,6000                 ,1
65.9          ,16            ,6000                 ,1
103           ,19            ,6000                 ,1
126.6         ,20.28         ,6000                 ,1.5
156.6         ,28            ,6000                 ,1.5
174           ,28            ,6000                 ,1.5
178           ,28            ,6000                 ,1.3
180           ,28.5          ,6000                 ,1.3
185.85        ,28.5          ,6000                 ,1.3
187           ,28.5          ,6000                 ,1.3
200           ,28.4          ,6000                 ,1.3
231           ,28.4          ,6000                 ,1.8
245           ,28.8          ,6000                 ,1.8
262           ,28.8          ,6000                 ,1.8
999           ,28.8          ,6000                 ,1.8